knot_id	catalogue_exact_u	status	attempts	strands	word_length	rep_key	graph_node_id	graph_u_upper	cc_positions	zero_ri	zero_rii	zero_riii
knot:10_114	1	witness	5	5	16	abb56d86cac75fd9c1fc7fb5fd78a051f5876edfa6b55a75eb60550e44d0e20a	67683	9	4	2	7	3
knot:10_115	2	witness	22	5	14	5b14a6a761d92534d93bf5fe64f4a2e8b9105032d91c182f2cccef8a8a636312	36167	6	1,10	2	6	2
knot:10_116	2	witness	5	3	10	2829e5f7617c8809fdc63050f48b19ac10ee8c0e8423ea0b5853401e622a020c	15810	6	0,5	2	4	2
knot:10_117	2	witness	48	5	16	4f513f1e51a4a931f635768bfe6d220f187dd7c5e2b38dc8199abc2da7729a45	31419	6	3,9	2	7	2
knot:10_118	1	witness	7	3	10	a8e6c45776709725fb36ceabc4660b90b9a759506df7061039eec9824439ed41	66565	3	6	2	4	3
knot:10_119	1	witness	14	5	16	09696072f624be95cb300c33805da74554acf5167d64c635e9c3dcf2aa23db0a	3814	7	13	4	6	2
knot:10_120	3	witness	398	7	28	b6b4b8b5c6688a36490c6b8529fa62096d00e15cd1925b8946587ab12ad1edc4	72113	14	1,3,25	4	12	2
knot:10_121	2	witness	18	5	16	03eafb9b52f883f7f58c9de3a946834a39b6439000b5a53c2cd88d8b1d8ab2b8	1595	6	1,4	4	6	1
knot:10_122	2	witness	26	5	16	6eed8f60b0534b737354e285cd06622d2bca65cc051c27b5605a6545cea4d90c	43977	5	1,12	2	7	2
knot:10_123	2	witness	5	3	10	9afd4ad27df4420ba9071b21494e8f79e93ba21e675ca96ef8a226ae07e7e167	61211	3	0,5	2	4	2
knot:10_124	4	witness	19	3	10	19c3a34737dd6821fd91ffded2db402d4ac71664a803a6c1010fcd64c99d0f54	10149	4	0,1,5,6	2	4	0
knot:10_125	2	witness	4	3	10	66308b49824be18ddbecaa88a6478df715c7354961c6e2026a21543698f071fa	40516	4	0,4	2	4	1
knot:10_126	2	witness	31	3	10	2cd4b652cf4aea9b83fe1df3f9b5f806bbbfe69d2a72dbdfa2dabe36d2435031	17705	5	4,5	2	4	1
knot:10_127	2	witness	18	5	18	22cbaf244faf5a30cb923c81c2ef1a91a1523e3174cdc2331685be2541a7b1ac	13696	7	1,2	2	8	0
knot:10_128	3	witness	172	5	16	671102e64b84216c599c54dad28f6b3a6ec4e54dd5f6627c70c62dd6fd8425e6	40875	7	1,8,12	4	6	0
knot:10_129	1	witness	16	5	16	3d70ea2ba3b8166473f9ba3947a1f15ba19e88711fe84fcabc6ad64167d17f3d	24359	8	8	2	7	3
knot:10_130	2	witness	20	5	16	fcef25bc398e9f24a09ebb7b060ffd0cbccb92ebb894a022d685e83a0fe86559	99432	8	1,6	2	7	0
knot:10_131	1	witness	10	5	16	44fdcf8b4575d6b7e680da3c15812fa0e22817480156e329ad03e4ad9acfa056	27420	7	9	4	6	1
knot:10_132	1	witness	2	5	16	3522ac391832b78061bb4943e077c0af8a67047aaee2704ff0e95675c765d80a	21047	6	1	4	6	0
knot:10_133	1	witness	2	5	16	4711c4109de903ff142b3c99cfd24a3e3e6dd52f35f8e36f4344e9f16ff22a96	28223	5	1	4	6	0
knot:10_134	3	witness	172	5	16	6d294240400e442015db2b52a70a3709efdcdaa637cd1d9f9f176961a5b93354	43239	7	1,8,12	4	6	0
knot:10_135	2	witness	90	5	16	6bcc89bd9c4fad2d477a658ce21819348741d8f659ea4b09ab230f0be78cfb0f	42683	6	7,13	2	7	0
knot:10_136	1	witness	3	5	16	ab088938ab69acce78747e433af4616fce1642116811a9f5af4bd978ddc47eb2	67419	5	2	2	7	1
knot:10_137	1	witness	11	5	16	b57715b870add8c144fade0a5668f1171e8805bc429f748d87791b2db87187ac	71611	9	10	4	6	1
knot:10_138	2	witness	38	5	16	94e042f082aed06db4ff1f4187c22cbc75afa370ff094398cf36445d7b584ea5	58886	7	2,11	4	6	1
knot:10_139	4	witness	5	3	10	66ce16900e0198a3f380cf16b801058e49f6820f34421c79951309dcae55b9e8	40756	4	0,1,2,7	2	4	1
knot:10_140	2	witness	18	5	16	d175a3e5da745f2ed20757b8b30306bd7ab1d999bc7c8fedb646dd5a0880dd6c	82534	8	1,4	4	6	0
knot:10_141	1	witness	2	3	10	78cbb62fcc1c9ec670c90bba72c56d1e572f69d00eb59792fedb162faf03e83c	47951	2	1	2	4	1
knot:10_142	3	witness	478	5	16	239054563ed8c8b7bcfa274d2257ecc9163fef618e321d21bf4de71c26f17d7c	13995	7	7,8,10	4	6	0
knot:10_143	1	witness	6	3	10	acc9f263e60b133a3ae3f7d5ef6c81e7972d893988bcb089b9d7123dda65023b	68060	5	5	2	4	1
knot:10_144	2	witness	84	7	28	455fd08f7c302ebda5ab74fd83a7706ff05bcff29867d011f0bb7f160ed08075	27563	16	3,9	6	11	0
knot:10_145	2	witness	21	5	14	782bff225dd576a164a7139da3f9a143ed08916da0ded6d20b5145fd3ab333d7	47705	4	1,9	4	5	0
knot:10_146	1	witness	13	7	26	933ba55ce1c0ef513a8e65948c2edccbc915cccf10c14056c334332fd217fd7b	58245	13	12	2	12	0
knot:10_147	1	witness	5	5	16	8560c864816f0c451c7b0ea3be568ac402a2fc39708e7d3e8844d3cb1a84de4f	52872	7	4	2	7	1
knot:10_148	2	witness	20	3	10	60d770eaf0599271bc0849cb445111008c2c9fb5839a8fa2a48f60d55b336139	38415	5	2,5	2	4	2
knot:10_149	2	witness	22	3	10	6cfde9a3382ca1a6583c319698460048dc8c4b2e26780f9e0ac0edf5a0414f74	43168	4	2,7	2	4	0
knot:10_150	2	witness	20	5	16	fc0c05ac4b89f15d356ee4a6ce2c235a569d90349eb068a464720dddc4ca4780	99135	7	1,6	2	7	1
knot:10_151	2	witness	21	5	14	b1a31622bfe82b297246211666403556f6ff76727f1fd4e55d3baf3d2b05b14e	70074	6	1,9	4	5	2
knot:10_152	4	witness	11	3	10	7fef563946979e15eab9b2722e751dc34788fe86443967916b775d6bb4923fff	50741	4	0,1,3,7	2	4	0
knot:10_153	2	witness	103	5	18	c5ebc8c10e07386842d8626d123e521b496d2980c41e0c235bf7165926b3aebe	78011	6	7,12	2	8	0
knot:10_154	3	witness	130	5	14	f68b084296465a8afbb23f9c8d57c5584acbdda05facaa0efafb10a21559b569	97016	5	1,8,9	4	5	0
knot:10_155	2	witness	2	3	10	7b9f08782ac28a06c0fcaff79df1175d35a27676ddd6f121a30c8cf84482c8d4	49019	2	0,2	2	4	0
knot:10_156	1	witness	3	5	14	747258df3451a8ea424a4cc87d8f3918b8771b8ce250f5b4bd54c014b785d5f9	46215	6	2	4	5	2
knot:10_157	2	witness	14	3	10	6f37816c5c294769bef096a22198af02bc1ea37321f7f7c1766a84e832543560	44103	6	1,6	2	4	0
knot:10_158	2	witness	33	5	16	872fa9eefebb075c2a1611d94384555260f2af37d34beaeaa0485d110bfa297d	53526	7	2,6	2	7	1
knot:10_159	1	witness	2	3	10	3c4fb7b9c3efa4697672a5d91ee552b061408fdd16fe9afec2fe2b1bffcd9a19	23922	1	1	2	4	1
knot:10_160	2	witness	27	5	16	c49cf9cbdc1f231c83e7185dca494e466049b95bd2e6cf2b3ad32e979c4a482d	77475	7	1,13	2	7	1
knot:10_161	3	witness	38	3	10	b2179524ac85f0e6e0993990797c8183166646e77a54cc707939653c16f87595	70260	5	1,2,4	2	4	0
knot:10_162	2	miss	91	5	14	36fccd7932701eb6ded5fdef82b0de6a0648d7e1f1ceb384d5eca0fc2bf1f3e0	21847	5		0	0	0
knot:10_163	2	witness	18	5	16	2ef8ff124931b1570e101fd9575c70a4e0555116d185db75583cc0663beade17	18578	7	1,4	2	7	0
knot:10_164	1	miss	16	5	16	1e993598e7f6f21ff42e15151eadb0e705eaeba0f6657cc190692a0d94ac844c	12000	6		0	0	0
knot:10_165	2	witness	41	5	16	cec924c98bb7b48e59b5d6b71554bc6d2145b69711c258783af023db155bbfbc	81465	6	2,14	4	6	2
