unknotdb-rf-targeted-campaign-v0
snapshot_id	67e82776df09c7a646b5e51ecff0f6e2d90ff372f65f44bbc4aafeb0b8cb0296
corpus_id	7de9d30ded524253bd8138245758f0a14d4f159397babf1c97d8b59207cf9c2a
model_id	q-grown-raster-axial-12:Q254:36d1122f5494d502e556994083a1a69adf1643d5be95cd9f80ffc13b68e68d63
limits	1	12	48	1	10000	1	1	1	1	1	10	128	32
audit	representation_id	priority	stop_reason	stopping_key	hit	u
audit	braid:13412f9996e214341023609055763e3a6c0a8fc186f795d486ecf6973f8109c4	0	PreferredCrossingChange	27a756cf9017845d460288871f6157fa5069c4c3ab129203444423bdfbb8a09d	1	6
audit	braid:139820af1783043a7e3b4455ef2f851ded42024df18c0c2c460e37b3be7fb933	0	PreferredCrossingChange	71e08637a44b4087939be545f66d45aaad9cb4c9e48412668cb5cc17fafc21cd	1	5
audit	braid:2241eb328422b2f03800888e4a45ecb6336b33fff749bc002b8717aebc4c7da7	0	PreferredCrossingChange	52d50966d359a091f65adeab6ec05a81dec5f9c05af3b4b1f1a5619590b5b1aa	1	6
audit	braid:3b1c72aaec97ecc41771ef67305954ea8fb2f468bb5cce38a8d9629677d29ccd	0	PreferredCrossingChange	4947a2da3b22690b3f6fea7ee31a44395ce4535c174ee87f31d5a61aa6d8aeb4	1	6
audit	braid:3c35d68a0cb5c19b14036c625527c39cec4887794939470a2f7dc4606031b364	0	PreferredCrossingChange	465caa9e222574d4367af765e9aa575af63d3e45faa40b5f5c9abdd884dfc199	1	5
audit	braid:5c4879910fa6f2aaec1f70f9caee6ef6dbca81a74aa7827b52b3898111c1148f	0	PreferredCrossingChange	574278ca7af9d5a64cbf6d93c0742ad5bf4d403e44625ee214e3c8ecfea6178f	1	6
audit	braid:75dc8bd223d2bf89c1c71aac36a33dfdb5cfc113269f1e2b17e825019a84ab5d	0	PreferredCrossingChange	8852f95bad256cc46bf08438ea438b848d62f108508325a70752363ef680a709	1	8
audit	braid:79b8c6ec4462f6422f72f2cb896bb816ffd6327795e0f5ff19714059e3b58bc9	0	PreferredCrossingChange	510ca985bac4103612396f0eee6af6cd63a9c37f16639eb167f704bde4cc08f3	1	8
audit	braid:79ba86684e1537bbd77083fd08fe6268aeda864a73d59ef5baa470469196b815	0	PreferredCrossingChange	d8704dfb0f4c74455e7ef48343d8cdef41f2a66f5f7c94639fa07e67ac4a8991	1	8
audit	braid:7c4d4faad1d10eb409ee97c8118aa1e725de316b448045a81194e1681d52573c	0	PreferredCrossingChange	1ff1b30785d13834de933ce48e1ea7a47a3031012a1d5f42fc60cd5fc180e4c0	1	7
audit	braid:852c9914e47d294c9981efe17980a2488da75facad7814b0468f80e3820e7edb	0	PreferredCrossingChange	36ca892c2939796ef36ea4fa7001fe01e853da0fb1f1c14987347044846ae0fd	1	8
audit	braid:8f07663571c1b9ed0a7569f9c9f6d26db722154b1d4641b66c9dc89af0172be5	0	PreferredCrossingChange	cae426133abf4b2c1c73941e77b3790ce13536e1d2abea834355f94c0fb4f488	1	6
audit	braid:8fc43fc0069f52241d2358cf203a40b34656bfa7e4cd2d7af2aa7f09d7732030	0	PreferredCrossingChange	ef403a6270e100b372fe56b61912d939825f005f27146b8cc5a60f681c37dad0	1	7
audit	braid:93086d98b620edd7f4e583600589d9ff96103250a8df789a5477e6b50a92f852	0	PreferredCrossingChange	9ba53a20356c26245ebcf97d942212b4c0fc63be603f9b605eee7d85cbf0a330	1	5
audit	braid:9acdede86b2120a50fc3036a17b339659964e0eeb248dca8e927f53983083f97	0	PreferredCrossingChange	497b6c57d6cfbfac8093aefb752ea590c784da8c488fe32d977b31a7c3a8e545	1	7
audit	braid:9b463eb8c133b57bd3dc50515e12c9ece828be752f86998a7997591dedc0771c	0	PreferredCrossingChange	4199b3a83cb662e613e791431a28c716281e3624b72366a21a0a1d2e640f6d22	1	6
audit	braid:a4afb29a33a8e775f5f46bddfecfeab46cc46eaa74198990e4fd3ac91cf2eb6c	0	PreferredCrossingChange	9904de6524ba3cca4af965ab3a8faa5a8f00099625a8c95d27e117b8c43e93d9	1	6
audit	braid:afc5727c2f48f9d4258e69646a9cc1f694283756a28c4a79244bf62d33847152	0	PreferredCrossingChange	248fbc51d4f2b2267930fa00116957d5317af610dadef2111374fb9cebce6e75	1	6
audit	braid:b17d10c36921d8c47e3a4ee81d8bee6ddda980871d593e1b5a83ccec97a49130	0	PreferredCrossingChange	a5ac79f27e4d127f2190a9c645c95d2030e4cfedda245bd414ad309d8d9756df	1	5
audit	braid:b973df1edcb26295a66954844ac8e4f2ac879051f0a4e2aac60cbf627e7fb415	0	PreferredCrossingChange	47168ac9641d24512dd2787289e857acf7e8617a5959dc99367463f2fd4a26e1	1	8
audit	braid:ba2de105f8bebc2695380acedb40a0fd4c21b1cf6e3cf281a4444d4c54fb3373	0	PreferredCrossingChange	d1eb91ed4fc1627c653aa02cd97759088899d067acd8ace140787909ef71853b	1	7
audit	braid:bf24a466f93da33e7a569b44510db556978c65e1d0dc34fd03cd905eb211ff9b	0	PreferredCrossingChange	4e17069f18d15673c0a8f10a20d77e5627e863cb1c7ebe8d6cb092e6ea9eaedc	1	293
audit	braid:dcfda18efc117074c8d1aa2751fedc105b0bbfe0a38faa1ff019bc84e1b2365f	0	PreferredCrossingChange	b31cf89de7f95952c17bfccee62003ae34013de3c3a7c28c00a4a95c0dd9b4b4	1	5
audit	braid:e0963d022e52f9a55a245ef51998c049d739e96eb2aa5af4c0e2d0f929275160	0	PreferredCrossingChange	83b3714817df31b1f122f79a173404e4cd17eccdd1a40fb7f1f4f437df71c476	1	1005
audit	braid:e37ab3eadbcbbc12c4fe82d759d5d6fb7fb3d437f105d3e5d4ffc03eaaf799f7	0	PreferredCrossingChange	e14599a0b7f8168d350a9cf26b0689e793d6e1e4dff6e2dde64a301d13659a0b	1	6
audit	braid:e90144ee1381c668228509c94b28f05cdb41113f3ae98691f687093a2a822e54	0	PreferredCrossingChange	b20686d133f78eb7bc2127eca1aeaef327a07e84fcd997afa2c36354a28b8205	1	6
