unknotdb-quality-frontier-v0
limits	128	3	4096	256	5	14
accepted	bc33669235831b3e61b9b835a50b7c616aab297451aea0ccef826740eaf88a4d	70676337987b49672316228f410ec1addb415a20816d53f43e91ef00c7b968cf	1964	1010	1	1	554b5030010000000200000008000000000000000300000000000080
accepted	a04f405a5d0f27390f866a8b166d7143d82b2a4cc8df4bfc51c3f82c0773362d	0760836e2ec978276b7b0c6b48514770e6e4f342049c4f55251c10e1ba8728e8	1963	1010	1	1	554b5030010000000200000008000000000000000800000000000080
accepted	4eb48f370073247b157a275738c104d82f7a8fcc6665b60a32e4d3129d784af1	54e4609fbe18bb274c1f5627f987f4ca1c21c0355dd56a5da228d91e7daf010e	1962	1010	1	1	554b5030010000000200000008000000000000000200000000000080
accepted	7d845f48185e5929f29ab54ff61df631c6bb05ce984ebb550e1cb82c9ed7f524	a1df6336221936926c319d7d2c6bbd15bfee10eb2c6e808ba993f50c100299b3	1961	1009	1	1	554b5030010000000200000008000000000000000200000000000080
accepted	1db00989c6517bb06bb672573c2d408e6c3c3de777b666e18c48094940ebbced	ae4d02a3778eb9266a6505ded7fbe04abc90e244097f714ad789f09fc9ad00e0	1960	1665	1	1	554b503001000000010000001800000000000000
accepted	1db00989c6517bb06bb672573c2d408e6c3c3de777b666e18c48094940ebbced	cae30e424d7931b13a13d93615304a24a848f6746a570618f6071ffeef255cf2	1665	1010	1	1	554b503001000000010000002800000000000000
accepted	192d1745c4c1b13379bbb2796a6974e27d518bd2f549538dab7853aa63944edd	b52b69dff05c789bc8206acb34a0d1e29a178b1102929a4840504026bc77558d	1959	1009	1	1	554b5030010000000200000008000000000000000200000000000080
accepted	3c031e1f117d529282de7230bd8c6b4c248fd6fa32c2a3e306ea748529adaacf	192d1745c4c1b13379bbb2796a6974e27d518bd2f549538dab7853aa63944edd	1958	1010	1	1	554b5030010000000200000008000000000000000800000000000080
accepted	213919d3da7bf2e731686784ae4c6e38cd7db07f1d75da6768003f5c8b6c7f50	2c77cad71341c6561aee58034504f29f92db5e441d3972fd9aa7bcd657c970f3	1957	1519	1	1	554b503001000000010000001800000000000000
accepted	213919d3da7bf2e731686784ae4c6e38cd7db07f1d75da6768003f5c8b6c7f50	3c031e1f117d529282de7230bd8c6b4c248fd6fa32c2a3e306ea748529adaacf	1519	1011	1	1	554b503001000000010000002800000000000000
accepted	213919d3da7bf2e731686784ae4c6e38cd7db07f1d75da6768003f5c8b6c7f50	8e429df2cc4f4146f0cea835c856419070c8957b42a3b3b889863bbe093fe2d8	1011	1010	1	1	554b50300100000003000000380000000000000000000000000000c00600000000000080
accepted	0b4796ba5ad99b57d0bd87235d9fe82b4c47afe079774f138cd1d1b990c67d2a	139c98746a5c2245409a26df017bc7f511e9d876244085013f7c7050385e0e69	1956	1010	1	1	554b5030010000000200000008000000000000000300000000000080
accepted	c30651eb3934f43e91dff02c378ed842a6a7fad27e4ad69468e1d7f6f4d9e102	a1df6336221936926c319d7d2c6bbd15bfee10eb2c6e808ba993f50c100299b3	1955	1009	1	1	554b5030010000000200000008000000000000000600000000000080
accepted	42242029e228fd31e2520136bfc40e2b77b3455ee7a99c1c7ff5e1d274ca984e	c30651eb3934f43e91dff02c378ed842a6a7fad27e4ad69468e1d7f6f4d9e102	1954	1010	1	1	554b5030010000000200000008000000000000000800000000000080
accepted	d80059a1c024554c8ef46bc4028502cc9f2fc73be06a68073d678a5d4a2bd3ec	ab5ca3d58a7d7a121b4214810489c9da1dacb06d7beff88dd40cdca39ee83043	1953	1009	1	1	554b5030010000000200000008000000000000000500000000000080
accepted	357e36ef8b3f650c14882a91e7fa85a6b31acbcef1caa37c5d482a359135f14f	996c91e4c90715a2fca1466d333ed4fb33111b28f14a814cf3ade14266df5d46	1952	1011	1	1	554b5030010000000200000008000000000000000300000000000080
accepted	357e36ef8b3f650c14882a91e7fa85a6b31acbcef1caa37c5d482a359135f14f	441afb025d9a61d0540edc9c4e08fc4f4195fc464c512c25e554a8f552c7b919	1011	1010	1	1	554b50300100000003000000280000000000000000000000000000c00600000000000080
accepted	61a068a9ca2edc40382c1ad0450f30e7c4cd6b539da4b8738d9da3598762a1d4	3dbc07a390f4c2792d791865da272b51857323aa1d3a44ed9f8c92eb0920cd14	1951	1010	1	1	554b5030010000000200000008000000000000000300000000000080
accepted	8a8866a5f790b03e0dae84d9257407e77d90c7903e25e793306008ff22492469	b1a9bdc0465735752efb253148d6dae69294b373ca372b5fcf656cca3ab19ca6	1950	1106	1	1	554b5030010000000200000008000000000000000600000000000080
accepted	8a8866a5f790b03e0dae84d9257407e77d90c7903e25e793306008ff22492469	e28cd9c227d6e6bc33fabfc0d759910962a4e213ebe8c545d315d4d482778474	1106	1012	1	1	554b50300100000003000000580000000000000000000000000000c00300000000000080
accepted	8a8866a5f790b03e0dae84d9257407e77d90c7903e25e793306008ff22492469	c446e86f017122fc613c0c537835b199ef1b417c3a24dbba861c0f487e6b9097	1012	1009	1	1	554b503001000000010000006800000000000000
accepted	5fc96a4a6297bfb71695ca466c1db1485ea8262c7ad7a77627b90cd1f7233467	36e79fee5911b7693213f46088491251268fceb36b13749a160200c84a3d22a7	1949	1796	1	1	554b5030010000000200000008000000000000000200000000000080
accepted	5fc96a4a6297bfb71695ca466c1db1485ea8262c7ad7a77627b90cd1f7233467	e76af60eccae5367afa9126453e34af6fd9913f2e079b50ae3a88e3f8317beeb	1796	1676	1	1	554b503001000000010000001800000000000000
accepted	5fc96a4a6297bfb71695ca466c1db1485ea8262c7ad7a77627b90cd1f7233467	377b475c48cc7527bac6209d660ed98fd05a92b7597089adf472dd455ef3a527	1676	1010	1	1	554b50300100000003000000380000000000000000000000000000c00600000000000080
accepted	a45d142d11b0ecb2583050e2513a00c18166cf40976e8e35c40dc4f227462049	54e4609fbe18bb274c1f5627f987f4ca1c21c0355dd56a5da228d91e7daf010e	1948	1010	1	1	554b5030010000000200000008000000000000000500000000000080
accepted	a956df5ffe60057724f522c2a26901f2acc2198c28a0d7eaad3d1d3706920d89	59e95ce20684d14a8105b07fcfa1ed6fdc3a285b0af79d035a77baa285f328d3	1947	1009	1	1	554b5030010000000200000008000000000000000500000000000080
accepted	660bfc65c79959555382557ec029cddbbbc7a7857a90fbadb8ae00cddee7573c	a956df5ffe60057724f522c2a26901f2acc2198c28a0d7eaad3d1d3706920d89	1946	1010	1	1	554b5030010000000200000008000000000000000300000000000080
accepted	0d2eb70719fab7d15b966ab0080a893bbda81f48a541bcafa2762224abbbf4c5	1f9282dd155e8b28030354d158af6af65eb8c53c45da0f409c98e44dbd615e31	1945	1010	1	1	554b5030010000000200000008000000000000000500000000000080
accepted	dbd0ca11208bc85b24c8ee7b67c4f85ea9495ac88b5afef2d7319652ed3e8697	060f4feed1682807ed5f2cb96e333f6030e1debd2dfbb540f6f73c963a68ff02	1944	1009	1	1	554b5030010000000200000008000000000000000500000000000080
accepted	614be76b7a002debe332b71c02ae2d08bb10f56d2febd11edaef91c32eaa0aa8	d8a970c489332049ada5b4bb26742f288a4d7d57dab831d6c90056e98e8e4bb1	1943	1008	1	1	554b5030010000000200000008000000000000000500000000000080
accepted	b93c004abf29563f9466072c8213eed18e6f666c84dfd7092c28e3c827df90eb	614be76b7a002debe332b71c02ae2d08bb10f56d2febd11edaef91c32eaa0aa8	1942	1009	1	1	554b5030010000000200000008000000000000000300000000000080
accepted	468cbf480a83de2c728733c2390d74955851cc8be0df7ae0f61a123a83a2abcc	dbd0ca11208bc85b24c8ee7b67c4f85ea9495ac88b5afef2d7319652ed3e8697	1941	1010	1	1	554b5030010000000200000008000000000000000300000000000080
accepted	15455f09bcbb1f6e846a9177720cf51e472836822928bcf6117c03cb80e352c8	139c98746a5c2245409a26df017bc7f511e9d876244085013f7c7050385e0e69	1940	1010	1	1	554b5030010000000200000008000000000000000800000000000080
accepted	e3434fe0ea791ed3a5f3eabbbd9bdda3ee13d0ad43c0315c4a277ff50591718f	7340823993482fef28b5b9c0c3edfc81c488d2f9da5993017267a569ac811c42	1939	1574	1	1	554b503001000000010000001800000000000000
accepted	e3434fe0ea791ed3a5f3eabbbd9bdda3ee13d0ad43c0315c4a277ff50591718f	cce7829721b9587b5ca5f6f60b70a26e2808bec557866709302ffac9d6c409d7	1574	1540	1	1	554b50300100000003000000380000000000000000000000000000c00600000000000080
accepted	e3434fe0ea791ed3a5f3eabbbd9bdda3ee13d0ad43c0315c4a277ff50591718f	0b9fcd905fbccb22ba57afbfc36eb727d4a7446c29d3adcb8a9067c1618a912a	1540	1205	2	2	554b503001000000040000000300000010000000080000000000000000000000000000c00500000000000080
accepted	e3434fe0ea791ed3a5f3eabbbd9bdda3ee13d0ad43c0315c4a277ff50591718f	d984f5d23600170d3bfe6da8a386ec58d44719de6cb5a0f0bee5657bf2ffbabf	1205	1053	2	2	554b5030010000000200000043000000100000005800000000000000
