format	unknotdb-catalogue-planar-chain-import-v0
source_snapshot_sha256	c2d2dd17a792002372c7902ef53853f8677747a9ae1e2aaa19e80c56344421f3
policy_model_id	q-grown-raster-axial-12:Q254:36d1122f5494d502e556994083a1a69adf1643d5be95cd9f80ffc13b68e68d63
max_policy_plies	128
max_semantic_moves	32
row	knot_id	status	old_u	new_u	cc_count	certificate_id	detail
result	knot:10_28	improved	13	2	2	192a4efaf2addc5e2dc3d022d321cfdc847ede385d572b8a4ba5c9e98adfa376	verified chain
result	knot:10_29	improved	7	2	2	c6d0dc3f8f522a86fe3eba99ecc7950152f1c4b73e68fb1894bcc7443ac5fdfc	verified chain
result	knot:10_30	improved	14	1	1	448e2f6b7947221fd56de2e0330c0b669484371b48793ba7004a5e8afb3c933a	verified chain
result	knot:10_31	improved	11	1	1	ceeefb5b6cfccc3192117f24f63d8a4f2e20ccdb69ef35a55ecfed77926d0850	verified chain
result	knot:10_32	improved	7	1	1	67986b7cc62dfa00e795e163be903c7215ab16a2594af7de7debf46618b4976b	verified chain
result	knot:10_33	improved	13	1	1	a6c17195d32b6c051a85b1c05953fd473cc4aa9c7709bd9374f71aac659641e1	verified chain
result	knot:10_34	improved	11	2	2	60f738664c702c6ce47845b226b4c40f41929583fa424a58867f3e642c7e9b34	verified chain
result	knot:10_35	improved	10	2	2	e69821990b1aaa754f4c610c45a13bab2f91711a9aaf0ce808c9964ee58a9786	verified chain
result	knot:10_36	improved	16	2	2	df4361bc547f2b820b26a2ca2bd866d48fdd7be1b42aeca03a4082a5f0bcaa32	verified chain
result	knot:10_37	improved	13	2	2	d6364bebc8a664fb4c62c01caea86670e76a8577f9b04565565a869afe95799f	verified chain
result	knot:10_38	improved	14	2	2	f978ed2e6596fc9933ecf30b0dcabe637c9c1c55aaaae8cccc98a62224bac883	verified chain
result	knot:10_39	improved	7	2	2	067f7dea80c18912856ebc8158b75b06ecdaef51133e415b19ba159ad1400f4a	verified chain
result	knot:10_40	improved	8	2	2	3ccb9ad82ff912945ed1f29d9c9c0d01bdf976a694651854a306e6d253939c48	verified chain
result	knot:10_41	improved	5	2	2	1e69f0e62ac7da717918d4b4bcaf9a8b69267373ddd74943079c4c955d526a57	verified chain
result	knot:10_42	improved	6	1	1	bd3463970cd11c34824ba192a5ef561b009ff69f15866cd7cbe29810b0adc07d	verified chain
result	knot:10_43	improved	6	2	2	ccd10d407e571fc92517bb51c9440d516890446ebddef2496f1e9cf89dd51a12	verified chain
result	knot:10_44	improved	7	1	1	d72d7c24da5327304220c1ce063f8b5220017c2cc166e963ac4f46f59e3965f8	verified chain
result	knot:10_45	improved	8	2	2	b2aace15b91c27358b1fc260ed86cc2269f073b9ef84a73d4992201744cc84f6	verified chain
result	knot:10_46	improved	6	3	3	25e6ba2bc5300766ff1e2655eb370a78ebfdcd184b72a99cca0047aab64b5815	verified chain
result	knot:10_48	already-sufficient	2	2	2	-	graph bound is already no larger than witness cost
result	knot:10_49	improved	7	3	3	be100b35b70726808ee7cb9ffb0f4066f0c7acdcaffa04a4658ca6f63064422f	verified chain
result	knot:10_50	improved	9	2	2	4a173934a271312c46e0dca239bd6cd5d5d8bf040b4b5dc36854882437f50925	verified chain
result	knot:10_52	improved	8	2	2	6d763bd18ef61cfc9b677515ccd60905db02f48f00d2bfef7894bde738ed67da	verified chain
result	knot:10_53	improved	16	3	3	8445a4d33069cb7e38ed1046daf6a067031daa52dbd5fa672c1fd12ccb8af26c	verified chain
result	knot:10_55	improved	12	2	2	63ed82496255f3dfe29b293d534c22225c8fbb06990bf67a9ede1da2d10faa9c	verified chain
result	knot:10_56	improved	7	2	2	ae292ce014605ac592afef7e994fcbb646491478fc3af590fe5d1dd79da1b9df	verified chain
result	knot:10_57	improved	6	2	2	7ce59db17f037229f1c61a08ac1b9cd2a518249c1da5dde6ca303c8e9fd1b5ea	verified chain
result	knot:10_58	improved	10	2	2	05619dc3b51a4b25a51f63016b62b39fd1717601113b3d1a180f176b7a8a1de6	verified chain
result	knot:10_59	improved	5	1	1	5b4f49add26f5ee408be71989a9881836a78f34c33290734424a9cbe204535bb	verified chain
result	knot:10_60	improved	11	1	1	bbabc0600a116d08d2ae456c1ad5fe19c9401fbb684c1ab0f55bb26dfc93c838	verified chain
result	knot:10_62	improved	4	2	2	294505fe7514675c8db833e90b51e0eabb896e0951477b6213a476b1c917c784	verified chain
result	knot:10_63	improved	14	2	2	23e7a5c8bb1dcf1ea0ec0ae3627b3734b2eb58c5bb3fc1d8490d9f93cefffa60	verified chain
result	knot:10_64	already-sufficient	2	2	2	-	graph bound is already no larger than witness cost
result	knot:10_65	improved	8	2	2	e0400718a9d78afa5ebe8ea66108f96720d93246da9450f598fa28224ed373c2	verified chain
result	knot:10_66	improved	7	3	3	538e70a19dd7ee6f2f1d14496cf7e63cf5317dd863fabb4095c47e78e9e29941	verified chain
result	knot:10_67	improved	10	2	2	70c59f46671063cc473ca674aaa5e8eb5bb83c3738bb6386dd4fd8e6f915d7d2	verified chain
result	knot:10_68	improved	13	2	2	f72ef0ce7a05144c501fe431fb3018d93b17c763e623f22e80f3ac8b53dc53bd	verified chain
result	knot:10_69	improved	6	2	2	0ebbcec6e1f44b91ad0c19a087c017f8ec2a3d3db7a7b47497af8cbf99fabb30	verified chain
result	knot:10_70	improved	7	2	2	d3f3c78c5dcea05c17d53626e22b3f62d99333b3590e9c1e297f5896e884dcfa	verified chain
result	knot:10_71	improved	6	1	1	366233918047e640a323a81fb546806e7069335dde93b4c5649648fae97f21ed	verified chain
result	knot:10_72	improved	11	2	2	c9f3eb661c2c233a371377e7214c391ff02e7d4423d0f9974f3b91b611e18d63	verified chain
result	knot:10_73	improved	6	1	1	a7dcfc51000eb56508bda08b80a5227fd7343db8fe0c9dd60ca0d6bc1ee2a133	verified chain
result	knot:10_74	improved	10	2	2	2f97a86c917bbacd40f9c28ce75a7bb2fea11716bffc811a916dd07fead3802f	verified chain
result	knot:10_75	improved	9	2	2	bb71d8dda8026f597f5a15ac015a360375b640a479f38c25dbf9a0d6ea2199d5	verified chain
result	knot:10_78	improved	9	2	2	f5c576b9c46274fb652342bc3ce1bb336d33ae47d2a53f72a68d3a918c01eed2	verified chain
result	knot:10_80	improved	5	3	3	d8eb4a8e59706ba3ab900ff35ab5ff9dcc9a891b6691d1d1d24b31c7136052c0	verified chain
result	knot:10_81	improved	6	2	2	a57c3ade32a947f0e990f066a6914017b9f0a35b27311c9628b8721be2921121	verified chain
result	knot:10_82	improved	4	1	1	9ab5153372edf396507a4a3deb3fdb5035cfecef8c685d3385f7fb04df7e1691	verified chain
result	knot:10_83	improved	7	2	2	ebb1358e4ed354623ee8b75cd1521749cca2ffcc0043f551ab7760e1914e3c9b	verified chain
result	knot:10_84	improved	8	1	1	75ef996a260e0b07b8d769677a1a2b2bb45f267658360c88bfd7ce6f253379ad	verified chain
result	knot:10_85	improved	3	2	2	f6f6d4924d66e764c468dd4a15fbdde20b9092729a0134c051a6fcbb3c0d7751	verified chain
result	knot:10_86	improved	8	2	2	27c2b1715529ca6bbc476cb78517cca0804e6f8223a9058af6b54399b92a265a	verified chain
result	knot:10_87	improved	9	2	2	7d8be08440e9c863a224da0a09f1270d1aa042b442920ca11777cc65c163f322	verified chain
result	knot:10_88	improved	8	1	1	3273a721fc3f7d2842bdccc0d4caf59a70ec3fd8c00935566c3fa277601fb6fe	verified chain
result	knot:10_89	improved	4	2	2	c9253597c03be700f8fc7c0309a6639177d7adfb50a681cbb41b9ca150161123	verified chain
result	knot:10_90	improved	7	2	2	c55e94a986532ca5cabb2f687d5cf788a685db91cf1f1d8185026f889d61e2e2	verified chain
result	knot:10_91	improved	3	1	1	34418aedaad4ab4ebf2c26cfa91b6c1a768471125d46884fbf43b878326332af	verified chain
result	knot:10_92	improved	7	2	2	327ceb0bf510983d41a8670241e107695d8f27b27a8304121fa4df1acd150ee5	verified chain
result	knot:10_93	improved	8	2	2	dd3a2f21d7f538b0cf5e90e116a6ce19fa86641780bdb2ea27206f09d367ef33	verified chain
result	knot:10_94	already-sufficient	2	2	2	-	graph bound is already no larger than witness cost
result	knot:10_95	improved	8	1	1	c6a43295cfacf5ec968739fed42d4e5a5f017249097da6f52961834446a25691	verified chain
result	knot:10_96	improved	5	2	2	7ed90e42042a011542b91f2a34de24977d5de35e36f0de29e9911d2afaca5c2e	verified chain
result	knot:10_97	improved	12	2	2	9c6d3c793885225e398ab9e04b2ade205782e10d5f874678c83ceb1d45331958	verified chain
result	knot:10_98	improved	5	2	2	69f92fcd863e4b6b56c8aa545ee95823fae06dcfee93bb448f83b2a183ca1519	verified chain
result	knot:10_99	improved	3	2	2	d4265a71f59a38757e0586e91167e5ae042e191f384d693bf5b5f8b1decfb715	verified chain
result	knot:10_101	improved	12	3	3	7cbd4254d0fba6002a2108c353e91d1a85a60a46d09faed5395d00f3de9f4550	verified chain
result	knot:10_102	improved	7	1	1	0acf3d8e93ad763d4da71e299b8d8ec3b8820b479baf7c753e3f0af59aab44f8	verified chain
result	knot:10_103	improved	6	3	3	9649ea74403926354c14b3d206f1112560df53c08d36a2acf081eb886073c055	verified chain
result	knot:10_104	improved	3	1	1	cd83fc9afa69a7bda8a2a52764cab1b98ec9172ccf04e70e9917806f0f150727	verified chain
result	knot:10_105	improved	5	2	2	d88467df019ae25d7c77e99781a4244e5eac861d3a498dcf21da2eb0c6203e4c	verified chain
result	knot:10_106	already-sufficient	2	2	2	-	graph bound is already no larger than witness cost
result	knot:10_107	improved	6	1	1	a45c34205ba8986a4b98889c5f89cbee0901e8b02265357246adaf8f700a7380	verified chain
result	knot:10_108	improved	8	2	2	a11a8970dc6bddbd7243d963d33a2c0fc7e4df8de1bc650afbb2eb392fce71af	verified chain
result	knot:10_109	already-sufficient	2	2	2	-	graph bound is already no larger than witness cost
result	knot:10_110	improved	7	2	2	d34bb6c5c7a0f3bafcbd08962554c7697b5c0cd178fe2722eb41f6a7e4b859ab	verified chain
result	knot:10_111	improved	7	2	2	e1cd002bdcb5f52cb49f24e8d2e43d6687c9db43e31fe2b90680565c098690b6	verified chain
result	knot:10_112	improved	3	2	2	94af2b98ef5289986ca87bd0f06b0f9ed06b52bec0e201c1d3b663db32625778	verified chain
